zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,daysOnZillow,zestimate,rentZestimate,timeOnZillow,taxAssessedValue,lotAreaValue,dateSold,CalendarYear built,Price per sqft,HasFlooring,HasHeating,HasCooling,GarageSpaces,HasLaundary,FirePlaces,HasPool,HasSecurity,Stories,Livability,Crime,Employment,Housing,Schools
24869311,965 Shorepoint Ct APT 204,94501,Alameda,CA,37.76202,-122.2692,419000,1,1,772,CONDO,0,451700,2163,53:23.0,184600,101260,,1971,543,Yes,Yes,No,1,Yes,0,Yes,No,1,76,C,B,B-,B+
24860437,2057 San Jose Ave,94501,Alameda,CA,37.764296,-122.252671,1295000,4,4,3101,MULTI_FAMILY,0,1590400,4419,28:24.0,130505,7500,,2021,418,Yes,Yes,No,2,Yes,0,No,No,0,76,C,B,B-,B+
24860197,2154 Santa Clara Ave,94501,Alameda,CA,37.767182,-122.247172,1798000,5,6,3175,SINGLE_FAMILY,0,1617900,2991,38:20.0,711168,10400,00:00.0,1909,566,Yes,Yes,No,0,Yes,0,No,No,2,76,C,B,B-,B+
24863829,612 Haight Ave,94501,Alameda,CA,37.774065,-122.278712,899000,2,2,1353,SINGLE_FAMILY,0,1041400,2027,23:17.0,742607,3744,,1910,664,Yes,Yes,No,0,Yes,1,No,No,0,76,C,B,B-,B+
24856314,1109 Mound St,94501,Alameda,CA,37.756038,-122.238759,1150000,2,3,1760,SINGLE_FAMILY,0,1544200,3780,03:11.0,945261,4004,00:00.0,1906,653,Yes,Yes,No,1,Yes,1,No,Yes,2,76,C,B,B-,B+
24856855,3006 Central Ave,94501,Alameda,CA,37.75886,-122.233419,1495000,2,3,2040,SINGLE_FAMILY,0,1707100,4117,43:07.0,764242,6625,00:00.0,1924,733,Yes,Yes,Yes,1,Yes,1,No,Yes,1,76,C,B,B-,B+
24858539,1233 Versailles Ave,94501,Alameda,CA,37.758816,-122.239268,1295000,2,4,2053,SINGLE_FAMILY,0,1393200,3814,18:11.0,198795,9282,,1912,631,Yes,Yes,Yes,1,Yes,2,No,No,3,76,C,B,B-,B+
24864779,333 Driftwood Ln,94501,Alameda,CA,37.750395,-122.238106,949000,2,3,1479,TOWNHOUSE,0,1062200,3469,13:14.0,911361,966,00:00.0,1972,642,Yes,Yes,No,2,Yes,1,Yes,No,2,76,C,B,B-,B+
24870136,55 Crane Ct,94502,Alameda,CA,37.741414,-122.247527,1595000,3,4,2344,SINGLE_FAMILY,0,1708800,4778,13:09.0,1262435,4100,00:00.0,1984,680,Yes,Yes,No,2,Yes,1,No,Yes,2,76,C,B,B-,B+
24856867,2904 Central Ave,94501,Alameda,CA,37.759443,-122.234224,1195000,3,3,2169,SINGLE_FAMILY,0,1370300,4500,38:13.0,393852,5255,,1980,551,Yes,Yes,No,2,Yes,2,No,Yes,2,76,C,B,B-,B+
