zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,daysOnZillow,zestimate,rentZestimate,timeOnZillow,taxAssessedValue,lotAreaValue,dateSold,CalendarYear built,Price per sqft,HasFlooring,HasHeating,HasCooling,GarageSpaces,HasLaundary,FirePlaces,HasPool,HasSecurity,Stories,Livability,Crime,Employment,Housing,Schools,homeType_CONDO,homeType_MANUFACTURED,homeType_MULTI_FAMILY,homeType_SINGLE_FAMILY,homeType_TOWNHOUSE
24860197,2154 Santa Clara Ave,94501,Alameda,CA,37.767182,-122.247172,0.14510523537807934,5,6,0.9056201999171434,0,-0.04267681638602486,2991,38:20.0,711168,10400.0,00:00.0,1909,566.0,Yes,Yes,No,0,Yes,0,No,No,2,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24856314,1109 Mound St,94501,Alameda,CA,37.756038,-122.238759,-0.3588044009211428,2,3,-0.11464143872573672,0,-0.0998476836599786,3780,03:11.0,945261,4004.0,00:00.0,1906,653.0,Yes,Yes,No,1,Yes,1,No,Yes,2,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24856855,3006 Central Ave,94501,Alameda,CA,37.75886,-122.233419,-0.09051917789146433,2,3,0.08724779012232436,0,0.0265177746701037,4117,43:07.0,764242,6625.0,00:00.0,1924,733.0,Yes,Yes,Yes,1,Yes,1,No,Yes,1,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24864779,333 Driftwood Ln,94501,Alameda,CA,37.750395,-122.238106,-0.5151097047732163,2,3,-0.31725170053396945,0,-0.4737467070798661,3469,13:14.0,911361,966.0,00:00.0,1972,642.0,Yes,Yes,No,2,Yes,1,Yes,No,2,76,C,B,B-,B+,0.0,0.0,0.0,0.0,1.0
24870136,55 Crane Ct,94502,Alameda,CA,37.741414,-122.247527,-0.012755345129238694,3,4,0.306441810014505,0,0.027836505665568032,4778,13:09.0,1262435,4100.0,00:00.0,1984,680.0,Yes,Yes,No,2,Yes,1,No,Yes,2,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24856612,3265 Encinal Ave,94501,Alameda,CA,37.754951,-122.231631,-0.32381067617814124,2,2,-0.11608350464608001,1,-0.1263774483922611,3058,48:27.0,1016134,5500.0,00:00.0,1929,680.0,Yes,Yes,No,1,Yes,1,No,Yes,2,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24872381,1133 Straub Way,94502,Alameda,CA,37.736083,-122.250876,-0.5571021744648181,3,2,-0.5198619623422022,1,-0.4673857693370381,3428,38:12.0,745010,2100.0,00:00.0,1989,747.0,Yes,Yes,No,2,Yes,1,Yes,No,2,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24860931,1112 Union St,94501,Alameda,CA,37.767273,-122.256561,-0.32381067617814124,2,3,-0.3554664474230667,1,-0.16834412301262605,3755,13:20.0,1212431,3528.0,00:00.0,1912,838.0,Yes,Yes,No,0,Yes,2,No,No,2,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
111390220,351 Laguna Vis,94501,Alameda,CA,37.752911,-122.243708,-0.3603596775763873,3,3,-0.10022077952230378,2,-0.28392701614449994,3949,53:07.0,364653,3596.0,00:00.0,1964,645.0,Yes,Yes,No,2,Yes,1,No,Yes,2,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
24857078,2990 Johnson Ave,94501,Alameda,CA,37.760847,-122.232542,-0.3214777611952745,2,4,-0.08580012031887085,2,-0.36840337226571523,2434,58:18.0,686944,3605.0,00:00.0,1909,666.0,Yes,Yes,No,2,Yes,1,No,Yes,2,76,C,B,B-,B+,0.0,0.0,0.0,1.0,0.0
